epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.003,909,,,,,,,
1,,909,,0.022239871323108673,,,,,
,0.003,919,,,,,,,
1,,919,,0.015386844053864479,,,,,
,0.003,929,,,,,,,
1,,929,,0.019783440977334976,,,,,
,0.003,939,,,,,,,
1,,939,,0.015443770214915276,,,,,
,0.003,949,,,,,,,
1,,949,,0.01965636946260929,,,,,
,0.003,959,,,,,,,
1,,959,,0.02250596135854721,,,,,
,0.003,969,,,,,,,
1,,969,,0.023502521216869354,,,,,
,0.003,979,,,,,,,
1,,979,,0.021590212360024452,,,,,
,0.003,989,,,,,,,
1,,989,,0.016168182715773582,,,,,
,0.003,999,,,,,,,
1,,999,,0.015688208863139153,,,,,
,0.003,1009,,,,,,,
1,,1009,,0.01782188192009926,,,,,
,0.003,1019,,,,,,,
1,,1019,,0.021782640367746353,,,,,
,0.003,1029,,,,,,,
1,,1029,,0.019409429281949997,,,,,
,0.003,1039,,,,,,,
1,,1039,,0.019613802433013916,,,,,
,0.003,1049,,,,,,,
1,,1049,,0.018815621733665466,,,,,
,0.003,1059,,,,,,,
1,,1059,,0.0170338973402977,,,,,
,0.003,1069,,,,,,,
1,,1069,,0.016769221052527428,,,,,
,0.003,1079,,,,,,,
1,,1079,,0.014818712137639523,,,,,
,0.003,1089,,,,,,,
1,,1089,,0.018823841586709023,,,,,
,0.003,1099,,,,,,,
1,,1099,,0.015585317276418209,,,,,
,0.003,1109,,,,,,,
1,,1109,,0.019743403419852257,,,,,
,0.003,1119,,,,,,,
1,,1119,,0.014396000653505325,,,,,
1,,1123,,,0.07512162625789642,0.1900334507226944,0.14120817184448242,0.1652047038078308,0.05625981092453003
1,,1123,0.018867943435907364,,,,,,
,0.003,1129,,,,,,,
2,,1129,,0.014515159651637077,,,,,
,0.003,1139,,,,,,,
2,,1139,,0.016454992815852165,,,,,
,0.003,1149,,,,,,,
2,,1149,,0.016593970358371735,,,,,
,0.003,1159,,,,,,,
2,,1159,,0.019424740225076675,,,,,
,0.003,1169,,,,,,,
2,,1169,,0.02364967204630375,,,,,
,0.003,1179,,,,,,,
2,,1179,,0.015576156787574291,,,,,
,0.003,1189,,,,,,,
2,,1189,,0.01751876436173916,,,,,
,0.003,1199,,,,,,,
2,,1199,,0.019853845238685608,,,,,
,0.003,1209,,,,,,,
2,,1209,,0.018800854682922363,,,,,
,0.003,1219,,,,,,,
2,,1219,,0.02496706321835518,,,,,
,0.003,1229,,,,,,,
2,,1229,,0.01841837912797928,,,,,
,0.003,1239,,,,,,,
2,,1239,,0.018495531752705574,,,,,
,0.003,1249,,,,,,,
2,,1249,,0.013577052392065525,,,,,
,0.003,1259,,,,,,,
2,,1259,,0.01621291972696781,,,,,
,0.003,1269,,,,,,,
2,,1269,,0.025313427671790123,,,,,
,0.003,1279,,,,,,,
2,,1279,,0.016349971294403076,,,,,
,0.003,1289,,,,,,,
2,,1289,,0.0150618776679039,,,,,
